CapabilityID,CapabilityName,ParentCapabilityID,Level,Description,OwnerOrg,ContactID,Status,EffectiveFrom,EffectiveTo
8.3.7.1.6,Employee Recognition,,Level 5,"The ability to establish and deliver programs to recognize the contributions, milestones and successes of the workforce. ",,,,,
8.3.7.1.6.1,Employee Contributions,,Level 6,The ability to recognize the contributions an employee makes to the workplace. ,,,,,
8.3.7.1.6.2,Employee Rewards,,Level 6,The ability to provide a reward to the employee based on established criteria.,,,,,
8.3.7.1.6.3,Employee Service Anniversaries,,Level 6,The ability to track and acknowledge an employee tenure. ,,,,,
8.3.7.2,Workforce Administration ,,Level 4,"The ability to manage the time, availability and leave entitlements of the workforce.",,,,,
8.3.7.2.1,Workplace Scheduling,,Level 5,The ability to attribute a resource to a job.,,,,,
8.3.7.2.1.1,Time and Attendance Management,,Level 6,The ability to monitor and manage employees work hours.,,,,,
8.3.7.2.1.2,Complex Scheduling,,Level 6,"The ability to schedule workers with complex time constraints, examples include, shift workers, acting coverage in high sensitive areas.",,,,,
8.3.7.2.2.1,Work Arrangement Management,,Level 5,"The ability to provide employees with alternate work arrangements based on a variety of factors such as; Part time work, compressed schedules, health issues etc. ",,,,,
8.3.7.2.3,Leave Management,,Level 5,The ability to monitor and manage an employees leave. ,,,,,
8.3.7.2.3.1,Leave Entitlements Management,,Level 6,The ability to assign and manage an employees leave credits ensuring collective agreement rules are applied.,,,,,
8.3.7.2.3.2,Extended Leave Management,,Level 6,The ability to manage an employees long term absence from the workplace.,,,,,
8.3.7.2.4,Workforce Accommodation Management,,Level 5,"The ability to identify, establish, implement, and review accommodations measures to meet the specific needs of employees, particularly those with physical or mental limitations or special needs due to their personal circumstances.",,,,,
8.3.7.2.4.1,Return to Work Management,,Level 6,The ability to manage an employees return to the workforce following an extended absence. ,,,,,
8.3.7.2.4.2,Disability Management,,Level 6,The ability to manage an employees schedule based on medical requirements.,,,,,
8.3.7.2.4.3,Adaptive Measures Management,,Level 6,"The ability to manage adaptive measures for employees, including determining appropriate accommodations and ensuring the implementation of such things as lighting, noise cancellation, desks and equipment, environment etc.",,,,,
8.3.7.3,Workforce Performance and Talent Management,,Level 4,"The ability to drive performance and manage talent strategically, ensuring alignment between individual and organizational goals, building robust talent pipelines, and empowering employees at all levels. This includes monitoring/mining key data points to continuously enhance performance for both individuals and the organization  .",,,,,
8.3.7.3.1, Performance Management,,Level 5,"The ability to manage the performance management process, by establishing clear performance expectations, providing continuous, regular, feedback, aligning individual goals with organizational priorities, conducting performance evaluations, addressing performance gaps, and setting up tailored support as required to drive organizational success. ",,,,,
8.3.7.3.1.1,Competency Framework,,Level 6,"The ability to develop and apply a competency framework or frameworks, which can be tailored to different levels or groups within the organization. ",,,,,
8.3.7.3.1.2,Performance Expectations and Goal Setting,,Level 6,"The ability to plan for employee performance, setting clear, measurable, and achievable performance expectations, goals and competencies aligned with organizational objectives and priorities. ",,,,,
8.3.7.3.1.3,Continuous Feedback,,Level 6,"The ability to create, manage, maintain and build upon continuous feedback practices supporting employee development, and individual and organizational performance improvement. ",,,,,
8.3.7.3.1.4,Performance Review Management,,Level 6,"The ability to manage all aspects of informal and formal performance review processes. This includes clear definitions (e.g., of ratings) and consistent implementation of each component of the review process which can include calibration or fair distribution of performance ratings across a group, sector, or department.    ",,,,,
8.3.7.3.1.5,Performance Results Management,,Level 6,"The ability to manage the results of performance reviews, including managing high performers, employees that show promise, engaging and recognizing solid performers and managing unsatisfactory performance (e.g., by creating performance improvement plans), all with an aim to drive individual and organizational success.  ",,,,,
8.3.7.3.2,Talent Management,,Level 5,"The ability to manage talent effectively, building a high-performing, diverse, and adaptable workforce   that aligns individual aspirations and strengths with organizational goals, supporting employees   at all levels   in meeting the changing needs and the priorities of the public service. ",,,,,
8.3.7.3.2.1,Talent Assessment,,Level 6," The ability to provide the space, guidance and tools to enable critical assessment of the organization, the employee and oneself, ultimately resulting in identification of current organizational needs and priorities as well as individual strengths, areas for improvement, aspirations and goals. ",,,,,
8.3.7.3.2.2,Talent Placement,,Level 6,"The ability to match employee strengths, developmental needs and their aspirations to organizational needs and priorities. ",,,,,
8.3.7.3.2.3,Career Development,,Level 6,"The ability to set and manage career paths and to support career planning and career development, guiding employees through the management of their career goals and objectives. ",,,,,
8.3.7.4,Workforce Development Management,,Level 4,The ability to manage employees skills and abilities to achieve maximum success for the employee and organization. ,,,,,
